data_date,strike,ticker,asset,strike_date,option_type,bid,ask,ivm,volm,outs_int
2023-03-21,1.5,BBBY 4/21/23 C1.5,BBBY,2023-04-21,Call,0.079999983,0.100000024,254.9091034,4210,20655
2023-03-21,2,BBBY 4/21/23 C2,BBBY,2023-04-21,Call,0.059999999,0.079999983,284.581665,991,20776
2023-03-21,2.5,BBBY 4/21/23 C2.5,BBBY,2023-04-21,Call,0.050000001,0.059999999,301.0374756,1153,10945
2023-03-21,155,AAPL 4/21/23 P155,AAPL,2023-04-21,Put,2.920000076,2.940000534,27.23293877,5822,33357
2023-03-21,157.5,AAPL 4/21/23 P157.5,AAPL,2023-04-21,Put,3.75,3.800000191,26.30897713,4688,9672
2023-03-21,160,AAPL 4/21/23 P160,AAPL,2023-04-21,Put,4.75,4.800000191,25.18278122,3804,9724
2023-03-21,162.5,AAPL 4/21/23 P162.5,AAPL,2023-04-21,Put,5.949999809,6.050000191,24.09845352,245,407
2023-03-21,165,AAPL 4/21/23 P165,AAPL,2023-04-21,Put,7.449999809,7.550000191,23.23670387,1116,1780
2023-03-21,3995,^GSPC 4/21/23 P3995,^GSPC,2023-04-21,Put,77.6000061,78.30000305,19.10078049,40,268
2023-03-21,4000,^GSPC 4/21/23 P4000,^GSPC,2023-04-21,Put,79.5,80.30000305,19.01053619,6893,74725
2023-03-21,4005,^GSPC 4/21/23 P4005,^GSPC,2023-04-21,Put,81.40000916,82.19999695,18.89450455,23,360
2023-03-21,4010,^GSPC 4/21/23 P4010,^GSPC,2023-04-21,Put,83.40000916,84.19999695,18.79520798,187,631
2023-03-21,4015,^GSPC 4/21/23 P4015,^GSPC,2023-04-21,Put,85.5,86.19999695,18.69660759,101,441
2023-03-21,59,KO 4/21/23 P59,KO,2023-04-21,Put,0.610000014,0.620000005,17.99397659,119,134
2023-03-21,60,KO 4/21/23 P60,KO,2023-04-21,Put,0.920000017,0.939999998,17.05599785,357,8938
2023-03-21,61,KO 4/21/23 P61,KO,2023-04-21,Put,1.329999924,1.369999886,15.78722,2,92
2023-03-21,62,KO 4/21/23 P62,KO,2023-04-21,Put,1.909999847,2,14.95527744,2,4
2023-03-21,62.5,KO 4/21/23 P62.5,KO,2023-04-21,Put,2.279999733,2.409999847,15.06431866,30,3111
2023-03-21,0.5,BBBY 4/21/23 P0.5,BBBY,2023-04-21,Put,0.039999999,0.059999999,217.1692047,454,6328
2023-03-21,1,BBBY 4/21/23 P1,BBBY,2023-04-21,Put,0.319999993,0.360000014,227.7243042,247,30715
2023-03-21,1.5,BBBY 4/21/23 P1.5,BBBY,2023-04-21,Put,0.769999981,0.800000012,265.2432861,115,9606
2023-03-21,2,BBBY 4/21/23 P2,BBBY,2023-04-21,Put,1.270000458,1.300000191,323.2342834,39,12371
2023-03-21,2.5,BBBY 4/21/23 P2.5,BBBY,2023-04-21,Put,1.720000267,1.81000042,339.5435181,2,628
2023-04-19,160,AAPL 5/19/23 C160,AAPL,2023-05-19,Call,10.05000019,10.25,27.28186607,1260,25203
2023-04-19,165,AAPL 5/19/23 C165,AAPL,2023-05-19,Call,6.600000381,6.699999809,26.18805695,1919,35865
2023-04-19,170,AAPL 5/19/23 C170,AAPL,2023-05-19,Call,3.699999809,3.75,23.98755074,7730,37208
2023-04-19,175,AAPL 5/19/23 C175,AAPL,2023-05-19,Call,1.760000229,1.789999962,22.45007706,3608,46912
2023-04-19,180,AAPL 5/19/23 C180,AAPL,2023-05-19,Call,0.699999988,0.709999979,21.38897705,5473,22916
2023-04-19,4145,^GSPC 5/19/23 C4145,^GSPC,2023-05-19,Call,75.90000916,77,14.27929592,73,696
2023-04-19,4150,^GSPC 5/19/23 C4150,^GSPC,2023-05-19,Call,72.80000305,73.80000305,14.16827774,1764,16655
2023-04-19,4155,^GSPC 5/19/23 C4155,^GSPC,2023-05-19,Call,69.6000061,70.69999695,14.04524517,339,638
2023-04-19,4160,^GSPC 5/19/23 C4160,^GSPC,2023-05-19,Call,66.6000061,67.69999695,13.94178772,443,1139
2023-04-19,4165,^GSPC 5/19/23 C4165,^GSPC,2023-05-19,Call,63.90000916,64.5,13.83638573,105,357
2023-04-19,57.5,KO 5/19/23 C57.5,KO,2023-05-19,Call,6.400000572,6.550000191,22.05412292,0,2099
2023-04-19,60,KO 5/19/23 C60,KO,2023-05-19,Call,4,4.100000381,17.05312729,7,4365
2023-04-19,62.5,KO 5/19/23 C62.5,KO,2023-05-19,Call,1.880000114,1.960000038,14.72772694,1312,20060
2023-04-19,65,KO 5/19/23 C65,KO,2023-05-19,Call,0.480000019,0.49000001,12.55562496,1383,23037
2023-04-19,67.5,KO 5/19/23 C67.5,KO,2023-05-19,Call,0.039999999,0.059999999,11.76950836,14,5997
2023-04-19,0.5,BBBY 5/19/23 C0.5,BBBY,2023-05-19,Call,0.170000017,0.189999998,410.3042297,23882,51309
2023-04-19,1,BBBY 5/19/23 C1,BBBY,2023-05-19,Call,0.100000024,0.110000014,417.6624451,16907,44132
2023-04-19,1.5,BBBY 5/19/23 C1.5,BBBY,2023-05-19,Call,0.059999999,0.069999993,409.4584961,4034,9143
2023-04-19,2,BBBY 5/19/23 C2,BBBY,2023-05-19,Call,0.050000001,0.069999993,445.2333679,7336,16165
2023-04-19,2.5,BBBY 5/19/23 C2.5,BBBY,2023-05-19,Call,0.039999999,0.059999999,455.3392944,2706,7290
2023-04-19,160,AAPL 5/19/23 P160,AAPL,2023-05-19,Put,2.170000076,2.190000534,28.02878571,5167,32319
2023-04-19,165,AAPL 5/19/23 P165,AAPL,2023-05-19,Put,3.600000381,3.650000572,26.27074623,6412,20500
2023-04-19,170,AAPL 5/19/23 P170,AAPL,2023-05-19,Put,5.699999809,5.849999428,24.45038986,1968,3455
2023-04-19,175,AAPL 5/19/23 P175,AAPL,2023-05-19,Put,8.699999809,8.899999619,22.68717766,59,901
2023-04-19,180,AAPL 5/19/23 P180,AAPL,2023-05-19,Put,11.94999981,13.55000019,20.82816696,15,149
2023-04-19,4145,^GSPC 5/19/23 P4145,^GSPC,2023-05-19,Put,58.8999939,59.5,14.36688709,55,341
2023-04-19,4150,^GSPC 5/19/23 P4150,^GSPC,2023-05-19,Put,60.69999695,61.40000916,14.26021576,2335,13775
2023-04-19,4155,^GSPC 5/19/23 P4155,^GSPC,2023-05-19,Put,62.6000061,63.19999695,14.14157295,776,751
2023-04-19,4160,^GSPC 5/19/23 P4160,^GSPC,2023-05-19,Put,64.5,65.19999695,14.03196239,280,519
